レビューチェックリスト,,,,システム名 ：,リフォームWebシステム（施工業者連携サイト）,,,,,,,,,,,
,,,,,,,,,,,,,,,,
工程名 ：,,,,,,作成日 ：,,,,指摘区分,記述漏れ,記述相違,記述曖昧,記述冗長,標準化違反,その他
業務名 ：,,,,,,作成者 ：,,,,原因区分,検討不足,確認不足,習熟不足,その他,,
,,,,,,,,,,,,,,,,
チェック実施日,,,,承認者日付,,,,,,OK,NG,－,,,,
チェック実施者,,,,承認者,,,,,,,,,,,,
ドキュメント名,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NO.,観点区分,内容,,,チェック,,,備考,,,,,,,,
,,,,,担当,日付,結果,,,,,,,,,
1,設計,作成日は記載されているか？,,,,Copilot,2026/06/02,OK,,,,,,,,,,
2,設計,作成者は記載されているか？,,,,Copilot,2026/06/02,OK,,,,,,,,,,
3,設計,改版履歴の日付は最新か？,,,,Copilot,2026/06/02,OK,,,,,,,,,,
4,設計,改版履歴の更新者は記載済みか？,,,,Copilot,2026/06/02,OK,,,,,,,,,,
5,設計,改定理由として要件番号や紐づく情報が記載されているか？,,,,Copilot,2026/06/02,OK,,,,,,,,,,
6,設計,修正箇所以外で赤字はないか？,,,,Copilot,2026/06/02,OK,,,,,,,,,,
7,設計,誤記、記載ミスはないか？,,,,Copilot,2026/06/02,OK,,,,,,,,,,
8,設計,不要なリンク、計算式等はないか？,,,,Copilot,2026/06/02,OK,,,,,,,,,,
9,設計,要件内容は全て記載しているか？,,,,Copilot,2026/06/02,OK,,,,,,,,,,
10,設計,内部、客先指摘は全て完了しているか？,,,,Copilot,2026/06/02,OK,,,,,,,,,,
11,製造,設計書に記載の画面項目を実装しているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
12,製造,設計書に記載の入力チェックを実装しているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
13,製造,設計書に記載の確認/警告/完了POPUPメッセージを実装しているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
14,製造,設計書に記載の検索条件を実装しているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
15,製造,設計書に記載の登録/更新条件を実装しているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
16,製造,設計書に記載の削除条件を実装しているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
17,製造,設計書に記載のエラー処理を実装しているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
18,製造,設計書に記載のエラーメッセージを実装しているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
19,製造,異常系の考慮はされているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
20,製造,使用していない「Imports/Using」宣言はないか,,,,Copilot,2026/06/02,NG,,,,,,,,,,
21,単体作成,設計書に記載の画面項目を満たしているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
22,単体作成,設計書に記載の入力チェックを満たしているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
23,単体作成,設計書に記載の確認/警告/完了POPUPメッセージを満たしているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
24,単体作成,設計書に記載の検索条件を満たしているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
25,単体作成,設計書に記載の登録/更新条件を満たしているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
26,単体作成,設計書に記載の削除条件を満たしているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
27,単体作成,設計書に記載のエラー処理を満たしているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
28,単体作成,設計書に記載のエラーメッセージを満たしているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
29,単体作成,異常系テストの考慮はされているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
30,単体実施,未実施の項目が残っていないか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
31,単体実施,テスト実施日、テスト実施結果、テスト実施者が記載されているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
32,単体実施,NGの項目について、障害表が作成されているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
33,単体実施,NGの項目について、障害表の管理番号と紐づけされているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
34,単体実施,NGの項目について、2回目以降の試験実施結果欄が作成されているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
35,単体実施,実施できない項目について備考等に理由が記載されているか,,,,Copilot,2026/06/02,OK,,,,,,,,,,
36,単体実施,エビデンスに漏れはないか？,,,,Copilot,2026/06/02,OK,,,,,,,,,,
37,結合作成,機能間連携を確認する試験項目が考慮されているか,,,,Copilot,2026/06/02,NG,,,,,,,,,,
38,結合作成,システム間連携を確認する試験項目が考慮されているか,,,,Copilot,2026/06/02,NG,,,,,,,,,,
39,結合実施,未実施の項目が残っていないか,,,,Copilot,2026/06/02,NG,,,,,,,,,,
40,結合実施,テスト実施日、テスト実施結果、テスト実施者が記載されているか,,,,Copilot,2026/06/02,NG,,,,,,,,,,
41,結合実施,NGの項目について、障害表が作成されているか,,,,Copilot,2026/06/02,NG,,,,,,,,,,
42,結合実施,NGの項目について、障害表の管理番号と紐づけされているか,,,,Copilot,2026/06/02,NG,,,,,,,,,,
43,結合実施,NGの項目について、2回目以降の試験実施結果欄が作成されているか,,,,Copilot,2026/06/02,NG,,,,,,,,,,
44,結合実施,実施できない項目について備考等に理由が記載されているか,,,,Copilot,2026/06/02,NG,,,,,,,,,,
45,結合実施,エビデンスに漏れはないか？,,,,Copilot,2026/06/02,NG,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
