リリース前最終チェック,,,,システム名 ：,リフォームWebシステム（施工業者連携サイト）,,,,,,,,,,,
,,,,,,,,,,,,,,,,
工程名 ：,,,,,,作成日 ：,,,,指摘区分,記述漏れ,記述相違,記述曖昧,記述冗長,標準化違反,その他
業務名 ：,,,,,,作成者 ：,,,,原因区分,検討不足,確認不足,習熟不足,その他,,
,,,,,,,,,,,,,,,,
チェック実施日,,,,承認者日付,,,,,,OK,NG,－,,,,
チェック実施者,,,,承認者,,,,,,,,,,,,
ドキュメント名,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NO.,観点区分,内容,,,チェック,,,備考,,,,,,,,
,,,,,担当,日付,結果,,,,,,,,,
1,ドキュメント,作成日は記載されているか？,,,,,,,,,,,,,,
2,ドキュメント,作成者は記載されているか？,,,,,,,,,,,,,,
3,ドキュメント,改版履歴の日付は最新か？,,,,,,,,,,,,,,
4,ドキュメント,改版履歴の更新者は記載済みか？,,,,,,,,,,,,,,
5,ドキュメント,改定理由として要件番号や紐づく情報が記載されているか？,,,,,,,,,,,,,,
6,ドキュメント,修正箇所以外で赤字はないか？,,,,,,,,,,,,,,
7,ドキュメント,誤記、記載ミスはないか？,,,,,,,,,,,,,,
8,ドキュメント,不要なリンク、計算式等はないか？,,,,,,,,,,,,,,
9,ドキュメント,内部、客先指摘は全て完了しているか？,,,,,,,,,,,,,,
10,ドキュメント,試験結果に記載漏れはないか？,,,,,,,,,,,,,,
11,ドキュメント,試験項目は全てＯＫとなっているか？,,,,,,,,,,,,,,
12,ドキュメント,エビデンスに漏れはないか？,,,,,,,,,,,,,,
13,ソースコード,CheckStyleを実施して問題なかったか？,,,,Copilot,2026/06/02,OK,,,,,,,,,,
14,ソースコード,テストコードは全てOKとなっているか？,,,,Copilot,2026/06/02,OK,,,,,,,,,,
15,ソースコード,障害を再現するテストコードは作成済みか？,,,,Copilot,2026/06/02,OK,,,,,,,,,,
16,ソースコード,SonarQubeで修正箇所のロジックパターンに漏れはないか？,,,,,,,,,,,,,,
17,ソースコード,プルリクエストの指摘は全て解消されているか？,,,,,,,,,,,,,,
18,単体,未実施の項目が残っていないか？,,,,,,,,,,,,,,
19,単体,全ての項目がOKとなっているか？,,,,,,,,,,,,,,
20,単体,NGの項目が残っていないか？,,,,,,,,,,,,,,
21,結合,未実施の項目が残っていないか？,,,,Copilot,2026/06/02,NG,,,,,,,,,,
22,結合,全ての項目がOKとなっているか？,,,,Copilot,2026/06/02,NG,,,,,,,,,,
23,結合,NGの項目が残っていないか？,,,,Copilot,2026/06/02,NG,,,,,,,,,,
24,総合,未実施の項目が残っていないか？,,,,Copilot,2026/06/02,NG,,,,,,,,,,
25,総合,全ての項目がOKとなっているか？,,,,Copilot,2026/06/02,NG,,,,,,,,,,
26,総合,NGの項目が残っていないか？,,,,Copilot,2026/06/02,NG,,,,,,,,,,
27,単体,未完了の項目が残っていないか？,,,,,,,,,,,,,,
28,課題・QA表,未完了の項目が残っていないか？,,,,,,,,,,,,,,
29,障害表,未完了の項目が残っていないか？,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
